Province,Region,Year,Birthrate
Beijing,North China,2019,8.12
Tianjin,North China,2019,6.73
Hebei,North China,2019,10.83
Shanxi,North China,2019,9.12
Inner Mongolia,North China,2019,8.23
Liaoning,Northeast China,2019,6.45
Jilin,Northeast China,2019,6.05
Heilongjiang,Northeast China,2019,5.73
Shanghai,East China,2019,7
Jiangsu,East China,2019,9.12
Zhejiang,East China,2019,10.51
Anhui,East China,2019,12.03
Fujian,East China,2019,12.9
Jiangxi,East China,2019,12.59
Shandong,East China,2019,11.77
Henan,South Central China,2019,11.02
Hubei,South Central China,2019,11.35
Hunan,South Central China,2019,10.39
Guangdong,South Central China,2019,12.54
Guangxi,South Central China,2019,13.31
Hainan,South Central China,2019,12.87
Chongqing,Southwest China,2019,10.48
Sichuan,Southwest China,2019,10.7
Guizhou,Southwest China,2019,13.65
Yunnan,Southwest China,2019,12.63
Tibet,Southwest China,2019,14.6
Shaanxi,Northwest China,2019,10.55
Gansu,Northwest China,2019,10.6
Qinghai,Northwest China,2019,13.66
Ningxia,Northwest China,2019,13.72
Xinjiang,Northwest China,2019,8.14
Beijing,North China,2018,8.24
Tianjin,North China,2018,6.67
Hebei,North China,2018,11.26
Shanxi,North China,2018,9.63
Inner Mongolia,North China,2018,8.35
Liaoning,Northeast China,2018,6.39
Jilin,Northeast China,2018,6.62
Heilongjiang,Northeast China,2018,5.98
Shanghai,East China,2018,7.2
Jiangsu,East China,2018,9.32
Zhejiang,East China,2018,11.02
Anhui,East China,2018,12.41
Fujian,East China,2018,13.2
Jiangxi,East China,2018,13.43
Shandong,East China,2018,13.26
Henan,South Central China,2018,11.72
Hubei,South Central China,2018,11.54
Hunan,South Central China,2018,12.19
Guangdong,South Central China,2018,12.79
Guangxi,South Central China,2018,14.12
Hainan,South Central China,2018,14.48
Chongqing,Southwest China,2018,11.02
Sichuan,Southwest China,2018,11.05
Guizhou,Southwest China,2018,13.9
Yunnan,Southwest China,2018,13.19
Tibet,Southwest China,2018,15.22
Shaanxi,Northwest China,2018,10.67
Gansu,Northwest China,2018,11.07
Qinghai,Northwest China,2018,14.31
Ningxia,Northwest China,2018,13.32
Xinjiang,Northwest China,2018,10.69
Beijing,North China,2017,9.06
Tianjin,North China,2017,7.65
Hebei,North China,2017,13.2
Shanxi,North China,2017,11.06
Inner Mongolia,North China,2017,9.47
Liaoning,Northeast China,2017,6.49
Jilin,Northeast China,2017,6.76
Heilongjiang,Northeast China,2017,6.22
Shanghai,East China,2017,8.1
Jiangsu,East China,2017,9.71
Zhejiang,East China,2017,11.92
Anhui,East China,2017,14.07
Fujian,East China,2017,15
Jiangxi,East China,2017,13.79
Shandong,East China,2017,17.54
Henan,South Central China,2017,12.95
Hubei,South Central China,2017,12.6
Hunan,South Central China,2017,13.27
Guangdong,South Central China,2017,13.68
Guangxi,South Central China,2017,15.14
Hainan,South Central China,2017,14.73
Chongqing,Southwest China,2017,11.18
Sichuan,Southwest China,2017,11.26
Guizhou,Southwest China,2017,13.98
Yunnan,Southwest China,2017,13.53
Tibet,Southwest China,2017,16
Shaanxi,Northwest China,2017,11.11
Gansu,Northwest China,2017,12.54
Qinghai,Northwest China,2017,14.42
