Province,Region,Year,Birthrate,Wage,GRP,CPI
Beijing,North China,2019,8.12,173205,106.1,102.3
Tianjin,North China,2019,6.73,111602,104.8,102.7
Hebei,North China,2019,10.83,75775,106.7,103
Shanxi,North China,2019,9.12,72207,106.1,102.7
Inner Mongolia,North China,2019,8.23,83277,105.2,102.4
Liaoning,Northeast China,2019,6.45,75264,105.4,102.4
Jilin,Northeast China,2019,6.05,76401,103,103
Heilongjiang,Northeast China,2019,5.73,72603,104,102.8
Shanghai,East China,2019,7,151772,106,102.5
Jiangsu,East China,2019,9.12,98669,105.9,103.1
Zhejiang,East China,2019,10.51,101996,106.8,102.9
Anhui,East China,2019,12.03,82127,107.3,102.7
Fujian,East China,2019,12.9,84374,107.5,102.6
Jiangxi,East China,2019,12.59,76131,107.9,102.9
Shandong,East China,2019,11.77,84089,105.3,103.2
Henan,South Central China,2019,11.02,68305,106.8,103
Hubei,South Central China,2019,11.35,81524,107.3,103.1
Hunan,South Central China,2019,10.39,77563,107.6,102.9
Guangdong,South Central China,2019,12.54,100689,106.2,103.4
Guangxi,South Central China,2019,13.31,79516,106,103.7
Hainan,South Central China,2019,12.87,84656,105.8,103.4
Chongqing,Southwest China,2019,10.48,89714,106.3,102.7
Sichuan,Southwest China,2019,10.7,86855,107.4,103.2
Guizhou,Southwest China,2019,13.65,87970,108.3,102.4
Yunnan,Southwest China,2019,12.63,91811,108.1,102.5
Tibet,Southwest China,2019,14.6,123045,108.1,102.3
Shaanxi,Northwest China,2019,10.55,82114,106,102.9
Gansu,Northwest China,2019,10.6,77336,106.2,102.3
Qinghai,Northwest China,2019,13.66,93506,106.1,102.5
Ningxia,Northwest China,2019,13.72,88153,106.5,102.1
Xinjiang,Northwest China,2019,8.14,82052,106.2,101.9
Beijing,North China,2018,8.24,149843,106.7,102.5
Tianjin,North China,2018,6.67,103931,103.4,102
Hebei,North China,2018,11.26,71633,106.5,102.4
Shanxi,North China,2018,9.63,67669,106.6,101.8
Inner Mongolia,North China,2018,8.35,75601,105.2,101.8
Liaoning,Northeast China,2018,6.39,69093,105.6,102.5
Jilin,Northeast China,2018,6.62,70309,104.4,102.1
Heilongjiang,Northeast China,2018,5.98,65397,104.5,102
Shanghai,East China,2018,7.2,142983,106.8,101.6
Jiangsu,East China,2018,9.32,86590,106.7,102.3
Zhejiang,East China,2018,11.02,90857,107.1,102.3
Anhui,East China,2018,12.41,77196,108,102
Fujian,East China,2018,13.2,76266,108.3,101.5
Jiangxi,East China,2018,13.43,70772,108.7,102.1
Shandong,East China,2018,13.26,75125,106.3,102.5
Henan,South Central China,2018,11.72,64148,107.6,102.3
Hubei,South Central China,2018,11.54,76017,107.8,101.9
Hunan,South Central China,2018,12.19,73300,107.8,102
Guangdong,South Central China,2018,12.79,89826,106.8,102.2
Guangxi,South Central China,2018,14.12,73553,106.8,102.3
Hainan,South Central China,2018,14.48,77672,105.8,102.5
Chongqing,Southwest China,2018,11.02,81764,106,102
Sichuan,Southwest China,2018,11.05,80464,108,101.7
Guizhou,Southwest China,2018,13.9,82597,109.1,101.8
Yunnan,Southwest China,2018,13.19,80525,108.9,101.6
Tibet,Southwest China,2018,15.22,119947,108.9,101.7
Shaanxi,Northwest China,2018,10.67,74993,108.1,102.1
Gansu,Northwest China,2018,11.07,73704,106.1,102
Qinghai,Northwest China,2018,14.31,86908,107.1,102.5
Ningxia,Northwest China,2018,13.32,81945,106.8,102.3
Xinjiang,Northwest China,2018,10.69,76709,106.1,102
Beijing,North China,2017,9.06,134994,106.8,101.9
Tianjin,North China,2017,7.65,96965,103.4,102.1
Hebei,North China,2017,13.2,65266,106.6,101.7
Shanxi,North China,2017,11.06,61547,106.8,101.1
Inner Mongolia,North China,2017,9.47,67688,104,101.7
Liaoning,Northeast China,2017,6.49,62545,104.2,101.4
Jilin,Northeast China,2017,6.76,62908,105.2,101.6
Heilongjiang,Northeast China,2017,6.22,59995,106,101.3
Shanghai,East China,2017,8.1,130765,107,101.7
Jiangsu,East China,2017,9.71,79741,107.2,101.7
Zhejiang,East China,2017,11.92,82642,107.8,102.1
Anhui,East China,2017,14.07,67927,108.6,101.2
