Province,Region,Year,Birthrate,Education_Fund
Beijing,North China,2019,8.12,14794780
Tianjin,North China,2019,6.73,6270839
Hebei,North China,2019,10.83,19921191
Shanxi,North China,2019,9.12,9857999
Inner Mongolia,North China,2019,8.23,8105720
Liaoning,Northeast China,2019,6.45,10593957
Jilin,Northeast China,2019,6.05,6777422
Heilongjiang,Northeast China,2019,5.73,8115856
Shanghai,East China,2019,7,14125408
Jiangsu,East China,2019,9.12,31093313
Zhejiang,East China,2019,10.51,27343770
Anhui,East China,2019,12.03,16375812
Fujian,East China,2019,12.9,13429131
Jiangxi,East China,2019,12.59,14535470
Shandong,East China,2019,11.77,29001760
Henan,South Central China,2019,11.02,26685217
Hubei,South Central China,2019,11.35,16067052
Hunan,South Central China,2019,10.39,17753672
Guangdong,South Central China,2019,12.54,49187551
Guangxi,South Central China,2019,13.31,14367736
Hainan,South Central China,2019,12.87,4243935
Chongqing,Southwest China,2019,10.48,11442967
Sichuan,Southwest China,2019,10.7,22547121
Guizhou,Southwest China,2019,13.65,13622935
Yunnan,Southwest China,2019,12.63,14833632
Tibet,Southwest China,2019,14.6,2881230
Shaanxi,Northwest China,2019,10.55,12490355
Gansu,Northwest China,2019,10.6,7998741
Qinghai,Northwest China,2019,13.66,2894894
Ningxia,Northwest China,2019,13.72,2532754
Xinjiang,Northwest China,2019,8.14,10214911
Beijing,North China,2018,8.24,13525400
Tianjin,North China,2018,6.67,6351712
Hebei,North China,2018,11.26,17389625
Shanxi,North China,2018,9.63,9134205
Inner Mongolia,North China,2018,8.35,7759014
Liaoning,Northeast China,2018,6.39,9759379
Jilin,Northeast China,2018,6.62,6866495
Heilongjiang,Northeast China,2018,5.98,7612173
Shanghai,East China,2018,7.2,13412840
Jiangsu,East China,2018,9.32,28276374
Zhejiang,East China,2018,11.02,24009012
Anhui,East China,2018,12.41,15011779
Fujian,East China,2018,13.2,12547951
Jiangxi,East China,2018,13.43,13152969
Shandong,East China,2018,13.26,26349273
Henan,South Central China,2018,11.72,24293502
Hubei,South Central China,2018,11.54,14578340
Hunan,South Central China,2018,12.19,16300603
Guangdong,South Central China,2018,12.79,42684258
Guangxi,South Central China,2018,14.12,12836618
Hainan,South Central China,2018,14.48,3777479
Chongqing,Southwest China,2018,11.02,10216274
