Province,Year,Birthrate,Healthcare
Beijing,2019,8.12,10336
Tianjin,2019,6.73,5962
Hebei,2019,10.83,84651
Shanxi,2019,9.12,42162
Inner Mongolia,2019,8.23,24564
Liaoning,2019,6.45,34238
Jilin,2019,6.05,22198
Heilongjiang,2019,5.73,20375
Shanghai,2019,7,5597
Jiangsu,2019,9.12,34796
Zhejiang,2019,10.51,34119
Anhui,2019,12.03,26435
Fujian,2019,12.9,27788
Jiangxi,2019,12.59,37029
Shandong,2019,11.77,83616
Henan,2019,11.02,70734
Hubei,2019,11.35,35515
Hunan,2019,10.39,57230
Guangdong,2019,12.54,53900
Guangxi,2019,13.31,33679
Hainan,2019,12.87,5417
Chongqing,2019,10.48,21057
Sichuan,2019,10.7,83756
Guizhou,2019,13.65,28511
Yunnan,2019,12.63,25587
Tibet,2019,14.6,6940
Shaanxi,2019,10.55,35404
Gansu,2019,10.6,26697
Qinghai,2019,13.66,6513
Ningxia,2019,13.72,4397
Xinjiang,2019,8.14,18376
Beijing,2018,8.24,10058
Tianjin,2018,6.67,5686
Hebei,2018,11.26,85088
Shanxi,2018,9.63,42079
Inner Mongolia,2018,8.35,24610
Liaoning,2018,6.39,36029
Jilin,2018,6.62,22691
Heilongjiang,2018,5.98,20349
Shanghai,2018,7.2,5293
Jiangsu,2018,9.32,33254
Zhejiang,2018,11.02,32754
Anhui,2018,12.41,24925
Fujian,2018,13.2,27590
Jiangxi,2018,13.43,36545
Shandong,2018,13.26,81470
Henan,2018,11.72,71351
Hubei,2018,11.54,36486
Hunan,2018,12.19,56239
Guangdong,2018,12.79,51451
Guangxi,2018,14.12,33742
Hainan,2018,14.48,5325
Chongqing,2018,11.02,20524
Sichuan,2018,11.05,81537
Guizhou,2018,13.9,28066
Yunnan,2018,13.19,24954
Tibet,2018,15.22,6844
Shaanxi,2018,10.67,35300
Gansu,2018,11.07,27897
Qinghai,2018,14.31,6396
Ningxia,2018,13.32,4450
Xinjiang,2018,10.69,18450
Beijing,2017,9.06,9976
Tianjin,2017,7.65,5539
Hebei,2017,13.2,80912
Shanxi,2017,11.06,42490
Inner Mongolia,2017,9.47,24218
Liaoning,2017,6.49,35767
Jilin,2017,6.76,20828
Heilongjiang,2017,6.22,20283
Shanghai,2017,8.1,5144
Jiangsu,2017,9.71,32037
Zhejiang,2017,11.92,31979
Anhui,2017,14.07,24491
Fujian,2017,15,27217
Jiangxi,2017,13.79,37791
Shandong,2017,17.54,79050
Henan,2017,12.95,71089
Hubei,2017,12.6,36357
Hunan,2017,13.27,58624
Guangdong,2017,13.68,49874
Guangxi,2017,15.14,34008
Hainan,2017,14.73,5180
Chongqing,2017,11.18,19682
Sichuan,2017,11.26,80481
Guizhou,2017,13.98,28034
